Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5510","Production","0112","Maize (corn)","1980","1980","tonnes","396623299","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0112","Maize (corn)","1990","1990","tonnes","483387901.33","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0112","Maize (corn)","2000","2000","tonnes","591954995.42","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0112","Maize (corn)","2010","2010","tonnes","852646155.56","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0112","Maize (corn)","2020","2020","tonnes","1154921581.51","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1980","1980","tonnes","81040368","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","1990","1990","tonnes","108456443","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2000","2000","tonnes","161308383.2","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2010","2010","tonnes","265088428.76","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0141","Soya beans","2020","2020","tonnes","355871646.55","A","Official figure",""
